Australian Bureau of Statistics,,,
,,,
"2021 Census - counting persons, place of usual residence",,,
"STATE (UR), IRSD Deciles at SA1 Level (Pop) and AGEP Age",,,
Counting: Person Records,,,
,,,
Filters:,,,
Default Summation,Person Records,,
,,,
,,,
STATE (UR),IRSD Deciles at SA1 Level (Pop),AGEP Age,
New South Wales,Decile 1,3,11485
,,4,12054
,,5,11982
,,6,11970
,Decile 2,3,9516
,,4,9411
,,5,9670
,,6,9415
Victoria,Decile 1,3,6351
,,4,6259
,,5,6129
,,6,6241
,Decile 2,3,6491
,,4,6480
,,5,6825
,,6,6574
Queensland,Decile 1,3,6342
,,4,6442
,,5,6467
,,6,6770
,Decile 2,3,6905
,,4,6899
,,5,7324
,,6,7333
South Australia,Decile 1,3,2826
,,4,2837
,,5,2938
,,6,2962
,Decile 2,3,2399
,,4,2359
,,5,2424
,,6,2430
Western Australia,Decile 1,3,2208
,,4,2206
,,5,2301
,,6,2185
,Decile 2,3,2758
,,4,2909
,,5,2787
,,6,2859
Tasmania,Decile 1,3,998
,,4,1005
,,5,1020
,,6,1010
,Decile 2,3,853
,,4,915
,,5,879
,,6,942
Northern Territory,Decile 1,3,795
,,4,826
,,5,843
,,6,887
,Decile 2,3,226
,,4,252
,,5,217
,,6,261
Australian Capital Territory,Decile 1,3,12
,,4,15
,,5,16
,,6,12
,Decile 2,3,62
,,4,67
,,5,61
,,6,70
Other Territories,Decile 1,3,10
,,4,0
,,5,12
,,6,10
,Decile 2,3,0
,,4,0
,,5,0
,,6,0
Total,Decile 1,3,31037
,,4,31649
,,5,31707
,,6,32058
,Decile 2,3,29202
,,4,29294
,,5,30194
,,6,29887
,,,
"Data source: Census of Population and Housing, 2021, TableBuilder",,,
,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,
,,,
,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,
